"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"05","ANTIOQUIA","05604","REMEDIOS","443.32","534","331","193","202","265","142","154","121","85","86","29","3","5","3.99","10.38","24.67","45.37","39.33","38.88","129.44","118.94","115.91","146.33"
"05","ANTIOQUIA","05628","SABANALARGA",,"1",,,,,,,,,,,,,,,,,,,,,,
"05","ANTIOQUIA","05649","SAN CARLOS","1",,,,,"38","23","17","45","13","44","48","3","3","1.44","1.76",,,,,"1.18","1.39","1.75","1.77"
"05","ANTIOQUIA","05652","SAN FRANCISCO","22.85",,"17",,"27","137","79","235","71","139","129","47","31","23","29.46","15.52","13.99","28.75","14.11","13.75","30.62","48.47","64.19","77.95"
"05","ANTIOQUIA","05660","SAN LUIS","13.02",,"18",,"83","197","102","271","182","37","114","21","11","12","8.33","8.23","4.57","8.91","1.66","2.1","9.12","23.01","22.07","30.03"
"05","ANTIOQUIA","05665","SAN PEDRO DE URABÁ",,,"8",,,,,,"1",,,,,,"5.28","4.56","3.48","2.66","1.07",,,,,
"05","ANTIOQUIA","05667","SAN RAFAEL","9.15",,,,,"2",,"8","17",,,"4",,,,,,,,,,,,
"05","ANTIOQUIA","05670","SAN ROQUE","92.01","2",,,,,,"3",,"2",,"4",,,,,,,,,,,,
"05","ANTIOQUIA","05686","SANTA ROSA DE OSOS","3.89",,,,,,,,,,,,,,,,,,,,,,,
"05","ANTIOQUIA","05736","SEGOVIA","211.64","355","58","152","403","604","436","307","305","316","202","98","19","38","58.14","143.85","191.93","306.59","198.3","200.11","226.86","262.68","244.73","182.11"
"05","ANTIOQUIA","05756","SONSÓN","1",,"55","25","41","84","25","70","16","45","44","10","10","3","2.7","2.32",,,,,"2.56","3.94","10.97","19.41"
"05","ANTIOQUIA","05790","TARAZÁ","684.18","337","537","1163","1402","1105","1663","931","773","986","635","495","338","842","884.61","2797.31","3803.68","3728.41","2061.72","2,465.65","3531.32","3244.89","3768.43","3659.51"
"05","ANTIOQUIA","05819","TOLEDO",,,,,,,,,,,,,,,,,,"3.44",,,,,,
"05","ANTIOQUIA","05837","TURBO",,,"151","21",,,,"8","26","12",,"17","35","18","45.44","97.99","61.01","56.84","54.52","46.07","43.04","84.55","92.94","76.98"
"05","ANTIOQUIA","05842","URAMITA","3.58",,,,,,,,,,,,,,,,,,,,,,,
"05","ANTIOQUIA","05847","URRAO",,,,"14",,"1","3",,,"22","32","17","5",,,,,,,,,,,
"05","ANTIOQUIA","05854","VALDIVIA","124.2","50","157","431","467","426","1027","409","422","134","199","76","32","298","189.59","1620.8","2899.35","2623.54","2360.05","2,833.73","4105.39","4516.57","4726.85","4311.02"
"05","ANTIOQUIA","05858","VEGACHÍ","66.41","74","75","49","38","25","58","22","20",,"7","10",,"1",,,"36.45","42.29","31.55","27.4","108.57","78.59","56.95","62.11"
"05","ANTIOQUIA","05873","VIGÍA DEL FUERTE",,,,"3",,,,,"1",,"13",,"7","3",,,,,,,,"8.84","20.66","34.84"
"05","ANTIOQUIA","05885","YALÍ","89.81","47","46","27","22",,"53",,"6",,,,,"10","12.37","17.66","52.31","58.28","31","40.38","77.69","45.02","36.34","12.19"
"05","ANTIOQUIA","05887","YARUMAL","2","2",,"68","6","17","8",,"9","2","3",,"1","13","3.16","40.04","93.9","87.63","70.97","79.69","113.81","125.13","145.25","90.37"
"05","ANTIOQUIA","05890","YOLOMBÓ","71.94","7","17",,,,,,,,,,,"4","1.44","4.73","13.34","23.41","1.43","3.92","9.92","16.24","12.59","4.22"
"05","ANTIOQUIA","05893","YONDÓ (Casabe)","0.74","59","85","86","88","13","31","239","153",,"69","8",,"3","3.08",,"4.58","6.5","14.67","8.72","10.68","17.86","19.09","15.35"
"05","ANTIOQUIA","05895","ZARAGOZA","281.81","399","505","416","600","400","1611","495","240","384","49","252","12","24","66.82","160.9","346.92","471.23","346.37","686.02","807.18","682.48","749.41","609.84"
"81","ARAUCA","81065","ARAUQUITA","1325.09","1647","293.84","939","1165","775","1090","205","200","123","42","58","44","16","9.12","6.34","116.63","7.44",,,,,,
"81","ARAUCA","81300","FORTUL","265.82","165","71.31","252","249","158","519","39","72","46","24","5","3","3","1.23",,,,,,,,,
"81","ARAUCA","81591","PUERTO RONDÓN","43.95","34",,"10","36","50","18","15","8","3","2",,"1","2","1.93",,"4.59",,,,,,,
"81","ARAUCA","81736","SARAVENA","138.25","55","76.51","98","184","126","192","92","34","15","15","5","4","1",,,,,,,,,,
"81","ARAUCA","81794","TAME","396.23","314","96.38","253","249","197","297","96","103","60","50","14","17","4","4.85","2.57",,,,,,,,
"13","BOLÍVAR","13006","ACHÍ","1",,,,"3",,"20",,"14","60","5","12","1","6","3.77","9.12","12.48","12.53","8.22","5.72","4.94","9.27","28.9","44.09"
"13","BOLÍVAR","13030","ALTOS DEL ROSARIO",,,"37.27","42.97","58","18","57","43","67","6","16",,,,,,,,,,,"5.29","15.45","34.02"
"13","BOLÍVAR","13042","ARENAL","53.35","71","194","109","150","67","221","117","182","114","57","38","16","56","10.57","18.69","21.35","2.51","19.13","35.55","104.58","123.48","142.76","237.06"
"13","BOLÍVAR","13074","BARRANCO DE LOBA",,,"51.33","53","82","29","63","31","68","22","16",,,,,,,,,,,"45.02","60.56","89.94"
"13","BOLÍVAR","13160","CANTAGALLO","1063.4","446","511","229","333","127","485","909","727","312","255","198","57","125","44.86","398.45","600.51","728.93","645.48","811.66","1258.48","1145.27","1146.72","908.37"
"13","BOLÍVAR","13268","EL PEÑÓN",,,,"2.12",,,,,,,,,,,,,,,,,,,,
"13","BOLÍVAR","13458","MONTECRISTO","103.11","45","231","287","255","237","1239","734","679","709","535","234","163","279","214.14","522.1","510.89","716.53","635.21","576.61","688.02","616.18","848.96","790.64"
"13","BOLÍVAR","13473","MORALES","184.44","64","145","78","115","152","285","156","163","300","55","98","19","100","36.4","167.65","208.58","234.16","154.79","148.75","318.26","197.36","191.44","391.28"
"13","BOLÍVAR","13490","NOROSI",,,,,,,,,,,,"6","14","21","11.68","15.79","8.78","13.5","4.76","13.32","82.68","165.88","240.36","275.82"
"13","BOLÍVAR","13600","RIOVIEJO","194.49","166","288","242","323","178","357","230","276","163","66","15","9","23","11.54","8.22","15.08","2.12","18.4","66","100.22","143.58","151.32","215.96"
"13","BOLÍVAR","13655","SAN JACINTO DEL CAUCA",,"5","23","40","47","82","130","193","101","33","132","25","18","18","64.42","136.08","161.54","233.76","200.27","172.27","168.98","167.53","162.17","135"
"13","BOLÍVAR","13667","SAN MARTÍN DE LOBA",,,"67.46","180","176","67","144","77","114","82","17",,,"1",,,"4.25","4.14","2.88","2.84","2.45","17.52","16.34","26.59"
"13","BOLÍVAR","13670","SAN PABLO","1189.72","614","1105","756","638","334","579","1529","742","376","384","544","225","258","229.54","1255.5","2300.37","3315.51","2832.35","3,218.26","3972.77","3470.98","3339.62","2973.85"
"13","BOLÍVAR","13688","SANTA ROSA DEL SUR","1907.35","996","1336","925","1152","810","958","1319","1083","745","264","526","336","488","307.29","968.38","1437.1","2009.22","1912.62","2,468.01","2515.23","2086.98","2103.83","2097.65"
"13","BOLÍVAR","13744","SIMITÍ","1382.2","321","410","388","188","174","581","374","319","132","131","166","54","92","69.65","508.1","781.04","1206.26","1443.32","1,652.33","2011.06","1760.31","1743.12","1623.14"
"13","BOLÍVAR","13810","TIQUISIO (Puerto Rico)","61.54","7","72","69","150","107","513","135","242","270","274","106","13","98","39.16","86.2","117.04","134.51","87.66","201.93","286.71","413.38","578.88","596.29"
"15","BOYACÁ","15212","COPER",,"3","3",,,"1",,,,,,,,,,,,,,,,,,
"15","BOYACÁ","15223","CUBARÁ","47.3","6","8.04",,,,,"8","4","7",,,,"1",,,,,,,,,,
"15","BOYACÁ","15401","LA VICTORIA",,,,,,,,,"1",,,,,,,,,,,,,,,
"15","BOYACÁ","15442","MARIPÍ",,"14","25","10",,"4",,,,,,,,"1",,,,,,,,,,
"15","BOYACÁ","15480","MUZO",,"1","39","11","2","13",,,,,,,,,,,,,,,,,,
"15","BOYACÁ","15507","OTANCHE","6.68","23","140.67","84","101","142","52","120","106","30","47","8","6","4","4.55",,,"2.8",,,,,,
"15","BOYACÁ","15531","PAUNA","1","10","22","10","14","54",,,,,,,"3","3",,,,,,,,,,
