año,productividad laboral por hora trabajada (%),productividad total de los factores (pp),composición laboral (pp),contribución del capital por hora trabajada (pp)
2005,0.5396133958740708,-0.3199826425566472,0.7521130076391287,0.1074830307915893
2006,6.791190068895913,4.230771160217258,0.2929050161068226,2.267513892571833
2007,-2.766652916851699,-2.682177779735652,0.7338066533038862,-0.8182817904199334
2008,-0.1320056410229463,-1.654100906303738,0.652326300804,0.8697689644767918
2009,-0.2521757990363019,-1.051832606328781,-1.165102507650223,1.964759314942702
2010,-1.384113973571452,-1.702761796260407,0.8352630925092378,-0.5166152698202834
2011,1.189718340787342,0.4646006442882184,0.3856360787760604,0.3394816177230627
2012,1.952206731700357,-0.4509222200317248,-0.2066555674392379,2.609784519171319
2013,4.88153437287393,0.4601696267203639,1.219884055056872,3.201480691096694
2014,0.8242919092088079,-1.41434685136183,0.7015086207427883,1.53713013982785
2015,1.414667585946561,0.7722781876051343,-0.5725026971909435,1.21489209553237
2016,0.1099439703068625,-1.160088268044888,0.2566920958111061,1.013340142540645
2017,1.499264607510143,0.1938101462894286,-0.1493722097398398,1.454826670960554
2018,1.304344007577052,0.2351137663286853,0.5400642216862038,0.5291660195621629
2019,1.651389076793403,0.2294517232210479,0.4398553085993493,0.9820820449730054
2020,4.771315661721591,-1.502914313025233,2.212016808767221,4.062213165979603
2021,-2.110878653055491,1.29773141732825,0.6059392974507375,-4.014549367834478
2022,-0.2840625235677649,0.1553017929137789,0.174817576230164,-0.6141818927117079
2023,-1.101953124052249,-0.9234207713273888,0.2336273635621591,-0.4121597162870192
2024,2.22576434150705,1.205998140364669,-0.006830283808128682,1.02659648495051
2025,0.4027316507989828,0.7536694081114617,-0.1717694109908592,-0.1791683463216197
